7007345	Gajari Homa	Gajari Homa		13.11527	4.74399	P	PPL	NG		51	601	60109		0		244	Africa/Lagos	2016-06-22
7007346	Hoko	Hoko		13.14027	4.81055	P	PPL	NG		51	601	60108		0		239	Africa/Lagos	2016-06-22
7007347	Zoro	Zoro		13.14498	4.83229	P	PPL	NG		51	601	60108		0		245	Africa/Lagos	2016-06-22
7007348	Guhipto	Guhipto		13.12191	4.81792	P	PPL	NG		51	601	60108		0		238	Africa/Lagos	2016-06-22
7007349	Tunga	Tunga	Tunga,Tungan	13.12747	4.84038	P	PPL	NG		51	601	60108		0		241	Africa/Lagos	2016-06-22
7007350	Jeringo	Jeringo		13.11394	4.84473	P	PPL	NG		51	615	61501		0		243	Africa/Lagos	2016-06-22
7007351	Kayah	Kayah		13.10935	4.8608	P	PPL	NG		51	615	61501		0		247	Africa/Lagos	2016-06-22
7007352	Tumune	Tumune		13.1265	4.86925	P	PPL	NG		51	601	60108		0		254	Africa/Lagos	2016-06-22
7007353	Baleo Dutche	Baleo Dutche		13.13399	4.88858	P	PPL	NG		51	601	60102		0		259	Africa/Lagos	2016-06-22
7007354	Gidan Alamu	Gidan Alamu		13.14414	4.89123	P	PPL	NG		51	601	60102		0		250	Africa/Lagos	2016-06-22
7007355	Kunkurwo	Kunkurwo		13.15875	4.95936	P	PPL	NG		51	601	60106		0		269	Africa/Lagos	2016-06-22
7007356	Litingo	Litingo		13.15706	4.98183	P	PPL	NG		51	601	60104		0		274	Africa/Lagos	2016-06-22
7007357	Almaji	Almaji		13.14583	4.96866	P	PPL	NG		51	601	60106		0		276	Africa/Lagos	2016-06-22
7007358	Gidin Tudo	Gidin Tudo		13.13049	4.95562	P	PPL	NG		51	601	60106		0		274	Africa/Lagos	2016-06-22
7007359	Diddiba Tudu	Diddiba Tudu		13.11684	4.9747	P	PPL	NG		51	621	62107		0		273	Africa/Lagos	2016-06-22
7007360	Gidan Dulu	Gidan Dulu		13.11249	4.97373	P	PPL	NG		51	621	62107		0		278	Africa/Lagos	2016-06-22
7007361	Gidan Dulo	Gidan Dulo		13.123	4.94921	P	PPL	NG		51	601	60102		0		271	Africa/Lagos	2016-06-22
7007362	Gidan Kajai	Gidan Kajai		13.13206	4.93496	P	PPL	NG		51	601	60102		0		261	Africa/Lagos	2016-06-22
7007363	Gidan Joga	Gidan Joga		13.10307	4.94475	P	PPL	NG		51	601	60102		0		288	Africa/Lagos	2016-06-22
7007364	Gidan Gawi	Gidan Gawi		13.07625	4.95876	P	PPL	NG		51	615	61501		0		287	Africa/Lagos	2016-06-22
7007365	Surane Forest Reserve	Surane Forest Reserve		13.06937	4.90597	L	RESF	NG		51				0		272	Africa/Lagos	2009-11-28
7007366	Dargane	Dargane		13.10283	4.8829	P	PPL	NG		51	615	61501		0		260	Africa/Lagos	2016-06-22
7007367	Yola-Rafi	Yola-Rafi		13.0957	4.80342	P	PPL	NG		51	615	61508		0		235	Africa/Lagos	2016-06-22
7007368	Kulalu	Kulalu		13.08121	4.79158	P	PPL	NG		51	615	61508		0		231	Africa/Lagos	2016-06-22
7007369	Polanji	Polanji		13.06973	4.81393	P	PPL	NG		51	615	61501		0		231	Africa/Lagos	2016-06-22
7007370	Delmi	Delmi		13.05838	4.79786	P	PPL	NG		51	615	61505		0		234	Africa/Lagos	2016-06-22
7007371	Gawkai	Gawkai		13.09198	4.75078	P	PPL	NG		51	615	61508		0		234	Africa/Lagos	2016-06-22
7007372	Kalugo	Kalugo		13.09389	4.71295	P	PPL	NG		51	601	60109		0		255	Africa/Lagos	2016-06-22
7007373	Dusawa	Dusawa		13.087	4.70341	P	PPL	NG		51	601	60109		0		253	Africa/Lagos	2016-06-22
7007374	Aleta	Aleta		13.07758	4.69821	P	PPL	NG		51	601	60109		0		244	Africa/Lagos	2016-06-22
7007375	Tungan Rati	Tungan Rati		13.05826	4.68541	P	PPL	NG		40	504	50407		0		245	Africa/Lagos	2016-06-22
7007376	Motangkari	Motangkari	Matangkari,Motangkari	13.07372	4.54143	P	PPL	NG		40	504	50407		0		239	Africa/Lagos	2016-06-22
7007377	Tulu	Tulu		13.06913	4.50772	P	PPL	NG		40	502	50210		0		266	Africa/Lagos	2016-06-22
7007378	Rosa Mori	Rosa Mori	Old Rosa Mori,Rosa Mori	13.02516	4.41894	P	PPLQ	NG		40	502	50210		0		248	Africa/Lagos	2016-06-22
7007379	Tungan Ramusa	Tungan Ramusa		13.05874	4.47825	P	PPLQ	NG		40	502	50210		0		279	Africa/Lagos	2016-06-22
7007380	Dukoji Hill	Dukoji Hill	Dukoji Hill	13.01762	4.5191	T	HLL	NG		40	504	50407		0		316	Africa/Lagos	2018-12-06
7007381	Gidan Barka	Gidan Barka		13.0248	4.55121	P	PPL	NG		40	504	50407		0		255	Africa/Lagos	2016-06-22
7007382	Jibouneo	Jibouneo		13.00716	4.64518	P	PPL	NG		40	504	50407		0		242	Africa/Lagos	2016-06-22
7007383	Gidan Kitchira	Gidan Kitchira		13.00885	4.68456	P	PPL	NG		51				0		228	Africa/Lagos	2009-11-28
7007384	Sabongari	Sabongari	Sabangari,Sabongari	13.03808	4.66729	P	PPL	NG		40	504	50407		0		248	Africa/Lagos	2016-06-22
7007385	Tekeh	Tekeh		13.04726	4.67188	P	PPL	NG		40	504	50407		0		242	Africa/Lagos	2016-06-22
7007386	Tungan Tudo	Tungan Tudo		13.05149	4.67756	P	PPL	NG		40	504	50407		0		244	Africa/Lagos	2016-06-22
